condition,group_id,miou_zero_minus_full,mean_margin_zero_minus_full,identity0_margin_delta,identity1_margin_delta,cmsa_full,cmsa_zero
target15_b,cf_5ca001bb055cee89,-0.5257462462220366,-0.9485570734112094,-0.1821607502006366,-1.7149533966217825,True,False
target15_b,cf_c1b61a58ef4476a5,-0.23912379662477756,-0.7028434162091383,0.008844164137692179,-1.4145309965559687,False,False
target15_b,acceptedpair_2bed1085c2cab83d,-0.11396192225883295,-0.4978535781735632,-0.8424780688320939,-0.1532290875150325,False,False
target15_b,acceptedpair_89b5291120448df8,-0.4053014784928163,-0.8117867130035286,-0.06991427111072035,-1.5536591548963368,True,False
target15_b,acceptedpair_6a8a242a4bf160a8,-0.4547567925909676,-0.9223280897390816,-0.07483150425707963,-1.7698246752210838,True,False
target15_b,cf_f6ab2a187f2c42e6,-0.35628482697442143,-0.8236532480270531,-0.03322182786188632,-1.6140846681922199,True,False
target15_b,acceptedpair_ac04c7190000db27,-0.429747294378107,-0.7895377859171884,-0.11489999416161933,-1.4641755776727574,True,False
target15_b,acceptedpair_cb35232aef588ad2,-0.4574255849187387,-0.8457773344583335,-1.63799102794755,-0.05356364096911714,True,False
target15_b,acceptedpair_18df4546166abc7e,-0.4932787065025227,-0.9764991558288205,-1.729366149032804,-0.22363216262483687,True,False
target15_b,acceptedpair_48529fa701b1d761,-0.4556538656133783,-0.8333919076339416,-0.04571824259039303,-1.62106557267749,True,False
target15_b,cf_e84dca525185fb78,-0.48068449485898196,-0.9553124692905111,-0.7405373038963141,-1.170087634684708,True,False
target15_b,cf_2ea2e959688af16f,-0.014127567745425451,-0.4667284773531571,-0.9052018192154633,-0.028255135490850902,False,False
target15_b,acceptedpair_18b4bb30bb9a0113,-0.010999259303755282,-0.4689960282859847,-0.9159935379644588,-0.021998518607510564,False,False
target15_b,acceptedpair_3804e7a669ddae48,-0.2858541589442056,-0.6322729516899918,-0.009795153806291701,-1.2547507495736918,True,False
target15_b,cf_2882a85afb299b70,-0.5224797235531283,-0.5991620396720642,-0.5276961830400106,-0.6706278963041176,False,False
target15_b,acceptedpair_561a0d1cc8671699,-0.3249039682583584,-0.7448487016783845,-0.006950793659573962,-1.482746609697195,True,False
target15_b,acceptedpair_c50b19c1a731738f,-1.4867261465323356e-05,-0.48017977793485056,-2.9734522930646712e-05,-0.9603298213467705,False,False
target15_b,cf_10bc8409db783c0b,-0.29279951323467024,-0.7635609345544672,-1.5195197018264723,-0.007602167282461991,True,False
target15_b,cf_598f6f7142e805f5,-0.024989921373910096,-0.38020496577579066,-0.04997984274782019,-0.7104300888037611,False,False
target15_b,acceptedpair_17ff3a8081b79a20,-0.5484588403592844,-0.7941759230807723,-1.3644247327340615,-0.2239271134274834,True,False
target15_b,acceptedpair_44aeb1233b6d0930,-0.6157698910916276,-0.788668309185496,-0.5277166834519842,-1.0496199349190078,True,False
target15_b,cf_4a446f5d1cf8fca4,-0.4253988081876423,-0.8750417591746806,-1.3067562891642388,-0.44332722918512213,True,False
